FAWN	F AO N
DID	D IH D
DIE	D AY
DIG	D IH G
BEST'	B EH S T
LEAVE	L IY V
EXCELLENCE	EH K S AH L AH N S
BURNED	B ER N D
QUICK	K W IH K
PREVENT	P R IH V EH N T
PREVENT(2)	P R IY V EH N T
BRAVE	B R EY V
SAYS	S EH Z
SAYS(2)	S IH Z
FEARING	F IH R IH NG
OFFENDER'S	AH F EH N D ER Z
MINION	M IH N Y AH N
SIGH	S AY
WHEREFORE	W EHER F OW R
COST	K AA S T
COST(2)	K AO S T
SHOW'ST	SH OW S T
RUN	R AH N
FEAR	F IH R
INDIGEST	IH N D AY JH EH S T
INDIGEST(2)	IH N D AH JH EH S T
HYMN	HH IH M
FLEET'ST	F L IY T S T
CURSE	K ER S
APPEAR	AH P IH R
ASSISTANCE	AH S IH S T AH N S
CONTRACTED	K AA N T R AE K T AH D
FAVOUR	F EY V ER
PLEASED	P L IY Z D
SUSPECT	S AH S P EH K T
GOES	G OW Z
PINE	P AY N
APPEAL	AH P IY L
FILLED	F IH L D
APRIL'S	EY P R AH L Z
PRESCRIPTIONS	P R AH S K R IH P SH AH N Z
WAIL	W EY L
HONOUR	AA N ER
CLERK	K L ER K
WATER	W AO T ER
ENTERTAIN	EH N T ER T EY N
ENTERTAIN(2)	EH N ER T EY N
ALONE	AH L OW N
APPEARS	AH P IH R Z
CHANGE	CH EY N JH
BLUNTER	B L AH N T ER
BOY	B OY
BOAST	B OW S T
ROOT	R UW T
WHEREVER	W EH R EH V ER
WHEREVER(2)	HH W EH R EH V ER
BOW	B AW
BOW(2)	B OW
SPHERES	S F IH R Z
SHOOK	SH UH K
RECOUNTING	R IH K AW N T IH NG
RECOUNTING(2)	R IY K AW N T IH NG
STAINED	S T EY N D
LOVE	L AH V
HUMOUR	HH Y UW M ER
TEMPTETH	T EH M P T IH TH
BLOODY	B L AH D IY
WITHAL	W IH TH AO L
BETRAYING	B IH T R EY IH NG
SURMOUNT	S ER M AW N T
SWALLOWED	S W AA L OW D
SUFF'RING	S AH F R AH NG
O'ERWORN	AHAH R W AH R N
VOICES	V OY S AH Z
VOICES(2)	V OY S IH Z
WEALTH	W EH L TH
PROVE	P R UW V
SAKE	S EY K
CONFOUNDED	K AH N F AW N D IH D
ANGRY	AE NG G R IY
GIVE	G IH V
ONLY	OW N L IY
BATT'RING	B AE T R AH NG
WRONGS	R AO NG Z
LIVE	L AY V
LIVE(2)	L IH V
WOOD	W UH D
PREY	P R EY
MEMORY	M EH M ER IY
SCOPE	S K OW P
LOVING	L AH V IH NG
LOVE'S	L AH V Z
FIERCE	F IH R S
RIOT	R AY AH T
SESSIONS	S EH SH AH N Z
TOWERS	T AW ER Z
TOWERS(2)	T AWER Z
NEGLECTED	N AH G L EH K T AH D
NEGLECTED(2)	N IH G L EH K T IH D
ACCEPTABLE	AE K S EH P T AH B AH L
ACCEPTABLE(2)	AH K S EH P T AH B AH L
STRENGTH'S	S T R EH NG K TH S
DROWN	D R AW N
EVERYWHERE	EH V R IY W EH R
EVERYWHERE(2)	EH V R IY HH W EH R
VIRTUE	V ER CH UW
ROBE	R OW B
EPITAPH	EH P AH T AE F
FLY	F L AY
IMPAIR	IH M P EH R
SHEDS	SH EH D Z
CAR	K AA R
SOUL	S OW L
PURGE	P ER JH
HARDEST	HH AA R D AH S T
SOUR	S AW ER
SOUR(2)	S AW R
CAN	K AE N
CAN(2)	K AH N
GROWING	G R OW IH NG
MAKING	M EY K IH NG
PREVENT'ST	P R IY V EH N T S T
DECEASED	D IH S IY S T
DECEASED(2)	D IH S IY S ET
BREEDS	B R IY D Z
HEART	HH AA R T
DEDICATED	D EH D AH K EY T AH D
SERVANT'S	S ER V AH N TS
WANT	W AA N T
WANT(2)	W AO N T
FIGURE	F IH G Y ER
PREDICT	P R IH D IH K T
PREDICT(2)	P R IY D IH K T
ARISE	ER AY Z
DISTILLATION	D IH S T AH L EY SH AH N
HEARD	HH ER D
CRITIC	K R IH T IH K
PURITY	P Y UH R AH T IY
PURITY(2)	P Y UH R IH T IY
HIDES	HH AY D Z
MAK'ST	M AE K S T
PROVOKE	P R AH V OW K
STOLE	S T OW L
BEREFT	B ER EH F T
CHURLS	CH AH R L Z
WINTER	W IH N T ER
DRESS	D R EH S
DIVIDED	D IH V AY D IH D
UNDIVIDED	AH N D AH V AY D IH D
CLOAK	K L OW K
TROPHIES	T R OW F IY Z
LOUR'ST	L AH R S T
WRITE	R AY T
TILL	T IH L
SWORD	S AO R D
HUSBANDRY	HH AH Z B AH N D R IY
SWORN	S W AO R N
EYE'S	AY Z
MAP	M AE P
MAR	M AA R
MAY	M EY
FED	F EH D
SPOT	S P AA T
SIREN	S AY R AH N
MAD	M AE D
DATE	D EY T
END	EH N D
HATETH	HH EY T IH TH
FLOURISH	F L ER IH SH
GROW	G R OW
MAN	M AE N
TEMPERATE	T EH M P R AH T
TEMPERATE(2)	T EH M P ER AH T
REMEMBER	R IH M EH M B ER
REMEMBER(2)	R IY M EH M B ER
LIQUID	L IH K W AH D
LIQUID(2)	L IH K W IH D
CANDLES	K AE N D AH L Z
RATHER	R AE DH ER
RATHER(2)	R AH DH ER
SO	S OW
SILENCE	S AY L AH N S
DECEIVE	D IH S IY V
THORNS	TH AO R N Z
TALL	T AO L
INCREASE	IH N K R IY S
FORCED	F AO R S T
SERVING	S ER V IH NG
RECEIVEST	R IH S IY V AH S T
INDEED	IH N D IY D
FORFEIT	F AO R F IH T
WISHING	W IH SH IH NG
YEARS	Y IH R Z
COURSE	K AO R S
PITCH	P IH CH
COLD	K OW L D
STILL	S T IH L
BIRDS	B ER D Z
TRIFLE	T R AY F AH L
LIMBS	L IH M Z
DERIVE	D ER AY V
THANK	TH AE NG K
ACKNOWLEDGE	AE K N AA L IH JH
MUSES	M Y UW Z AH Z
MUSES(2)	M Y UW Z IH Z
CHIPS	CH IH P S
INFERIOR	IH N F IH R IY ER
CURLS	K ER L Z
MAID	M EY D
TILLAGE	T IH L AE JH
PLAY'ST	P L EY S T
POLICY	P AA L AH S IY
STOL'N	S T AA L N
MAIN	M EY N
INTO	IH N T UW
INTO(2)	IH N T AH
CORRESPONDENCE	K AO R AH S P AA N D AH N S
CLOSURE	K L OW ZH ER
TRUEST	T R UW IH S T
EQUIPAGE	IH K W IH P IH JH
THEREBY	DH EH R B AY
SOONER	S UW N ER
DELIGHTED	D IH L AY T AH D
DELIGHTED(2)	D IH L AY T IH D
RECORDS	R AH K AO R D Z
RECORDS(2)	R EH K ER D Z
RECORDS(3)	R IH K AO R D Z
HALF	HH AE F
NOT	N AA T
NOW	N AW
TWILIGHT	T W AY L AY T
KILLED	K IH L D
NOR	N AO R
WONT	W OW N T
TERM	T ER M
NAME	N EY M
SERVANT	S ER V AH N T
DROP	D R AA P
DROP(2)	D R AO P
BREACH	B R IY CH
VEINS	V EY N Z
ORPHANS	AO R F AH N Z
SURFEIT	S ER F AH T
ANOTHER'S	AH N AH DH ER Z
RECEIPT	R IH S IY T
RECEIPT(2)	R IY S IY T
RICHLY	R IH CH L IY
FEVER	F IY V ER
FAREWELL	F EH R W EH L
SEETING	S IY T AH NG
YEAR	Y IH R
HYMNS	HH IH M Z
TUNED	T UW N D
LIVING	L IH V IH NG
SHOWN	SH OW N
FOLLOWED	F AA L OW D
MOUTHS	M AW DH Z
SPACE	S P EY S
PROFIT	P R AA F AH T
PROFIT(2)	P R AA F IH T
CONFINE	K AH N F AY N
ABIDE	AH B AY D
LOOKING	L UH K IH NG
BOUNDLESS	B AW N D L AH S
GRECIAN	G R IY SH AH N
RECEIVING	R AH S IY V IH NG
RECEIVING(2)	R IH S IY V IH NG
RECEIVING(3)	R IY S IY V IH NG
CORRECT	K ER EH K T
SHOWS	SH OW Z
WORTHINESS	W ER DH IY N IH S
SIEGE	S IY JH
CARS	K AA R Z
CARS(2)	K AA Z
QUITE	K W AY T
REBEL	R EH B AH L
REBEL(2)	R IH B EH L
PLEA	P L IY
FEEL'ST	F IY L S T
CARE	K EH R
ADVANCE	AH D V AE N S
AGE'S	EY JH IH Z
EMBASSAGE	IH M B EY S IH JH
GOEST	G OW AH S T
CONTENTED	K AH N T EH N T AH D
CONTENTED(2)	K AH N T EH N T IH D
WAND'REST	W AA N D R AH S T
HONEST	AA N AH S T
MOTION	M OW SH AH N
THING	TH IH NG
THINE	DH AY N
PLACE	P L EY S
RECOMPENSE	R EH K AH M P EH N S
SUFFERANCE	S AH F ER AH N S
WIDOW	W IH D OW
WARNING	W AO R N IH NG
THINK	TH IH NG K
FREQUENT	F R IY K W AH N T
FREQUENT(2)	F R IY K W EH N T
FIRST	F ER S T
BLIND	B L AY N D
MAYST	M EY S T
WAVES	W EY V Z
TEACHEST	T IY CH AH S T
NATIVITY	N AH T IH V AH T IY
CONSECRATE	K AA N S AH K R EY T
LONG	L AO NG
DIRECTLY	D ER EH K T L IY
DIRECTLY(2)	D IY R EH K L IY
DIRECTLY(3)	D AY R EH K L IY
DIRECTLY(4)	D IH R EH K L IY
HABITATION	HH AE B AH T EY SH AH N
CARRY	K AE R IY
CARRY(2)	K EH R IY
SOUNDS	S AW N D Z
SOUNDS(2)	S AW N Z
TAME	T EY M
OPEN	OW P AH N
OPEN(2)	OWPAH N
AFFORDS	AH F AO R D Z
MILLIONS	M IH L Y AH N Z
INTERCHANGE	IH N T ER CH EY N JH
INTERCHANGE(2)	IH N ER CH EY N JH
LITTLE	L IH T AH L
CHECKED	CH EH K T
SILENT	S AY L AH N T
BREED	B R IY D
COMPLEXIONED	K AH M P L EH K SH AH N D
FIERY	F AY ER IY
BOUNTY	B AW N T IY
WHITE	W AY T
WHITE(2)	HH W AY T
TIGER'S	T AY G ER Z
SPEAKING	S P IY K IH NG
GIVES	G IH V Z
GAUDY	G AO D IY
EYES	AY Z
POMP	P AA M P
BLAZON	B L EY Z AH N
THAT	DH AE T
THAT(2)	DH AH T
BRAINS	B R EY N Z
MEN'S	M EH N Z
PROVING	P R UW V IH NG
HURT	HH ER T
ALAS	AH L AE S
EYED	AY D
GIRDED	G ER D IH D
REPROVING	R IY P R UW V IH NG
FLOWERS	F L AW ER Z
FLOWERS(2)	F L AWER Z
THAN	DH AE N
THAN(2)	DH AH N
STICK'ST	S T IH K S T
WIDE	W AY D
WERT	W ER T
REQUIRE	R IY K W AY ER
REQUIRE(2)	R IY K W AY R
REQUIRE(3)	R IH K W AY ER
FOLLY	F AA L IY
TRANSFERRED	T R AE N S F ER D
WERE	W ER
CARCANET	K AA R K AH N AH T
AND	AH N D
AND(2)	AE N D
DESPERATE	D EH S P R IH T
DESPERATE(2)	D EH S P ER IH T
ANGEL	EY N JH AH L
SLAY	S L EY
CORRECTION	K ER EH K SH AH N
CONFESSED	K AH N F EH S T
TURNED	T ER N D
ARGUMENT	AA R G Y AH M AH N T
JEWELS	JH UW AH L Z
JEWELS(2)	JH UW L Z
SAD	S AE D
ENTOMBED	EH N T UW M D
SAY	S EY
PERFUMES	P ER F Y UW M Z
BURIED	B EH R IY D
BURIED(2)	B EH R IY ED
FOILED	F OY L D
ANGER	AE NG G ER
SAP	S AE P
PRY	P R AY
ANY	EH N IY
JACKS	JH AE K S
SPORT	S P AO R T
DEFACED	D IH F EY S T
MOURNERS	M AO R N ER Z
ASIDE	AH S AY D
NOTE	N OW T
WRETCH	R EH CH
TAKE	T EY K
RESEMBLING	R IH Z EH M B AH L IH NG
RESEMBLING(2)	R IY Z EH M B AH L IH NG
RESEMBLING(3)	R IY Z EH M B L IH NG
GREEN	G R IY N
BLUNT	B L AH N T
FLATTERED	F L AE T ER D
URGE	ER JH
BEGIN	B IH G IH N
SURE	SH UH R
PAIN	P EY N
BUSY	B IH Z IY
TALLIES	T AE L IY Z
KNEW	N UW
KNEW(2)	N Y UW
CLEARER	K L IH R ER
PAID	P EY D
REMOVER	R IH M UW V ER
UNKINDNESS	AH N K AY N D N AH S
STAINETH	S T EY N IH TH
FLATTERER	F L AE T ER ER
TRACT	T R AE K T
PALATE	P AE L AH T
PALATE(2)	P AE L IH T
WINTERS	W IH N T ER Z
GARMENTS	G AA R M AH N T S
PROUD	P R AW D
TRAVEL'S	T R AE V AH L Z
WING	W IH NG
PERFECT'ST	P AH R F EH K T S T
SUNSET	S AH N S EH T
AMIS	AE M IH S
GLUTTON	G L AH T AH N
PERFUMED	P ER F Y UW M D
SOUREST	S AW ER AH S T
BURIEST	B EH R IY AH S T
BURIEST(2)	B EH R IYAH S T
SHOP	SH AA P
SHOW	SH OW
CHEAP	CH IY P
MERIT	M EH R AH T
TRESPASS	T R EH S P AE S
TRESPASS(2)	T R EH S P AH S
BRIGHT	B R AY T
SAYING	S EY IH NG
GROUND	G R AW N D
SLOW	S L OW
WOOS	W UW Z
UNKIND	AH N K AY N D
STORMY	S T AO R M IY
TITLE	T AY T AH L
TREASURE	T R EH ZH ER
ROBS	R AA B Z
WRITTEN	R IH T AH N
CRIME	K R AY M
TEARS	T EH R Z
TEARS(2)	T IH R Z
GOING	G OW IH NG
GOING(2)	G OW IH N
BLACK	B L AE K
PARTAKE	P AA R T EY K
STAIN	S T EY N
WILFULLY	W IH L F AH L IY
HINDMOST	HH AY N D M OW S T
GET	G EH T
GET(2)	G IH T
'TIS	T IH Z
LIMBECKS	L IH M B AH K S
TRULY	T R UW L IY
CANNOT	K AE N AA T
CANNOT(2)	K AH N AA T
RASED	R EY Z D
NEARLY	N IH R L IY
DYE	D AY
PRIME	P R AY M
SELDOM	S EH L D AH M
YIELD	Y IY L D
MORNING	M AO R N IH NG
NAKED	N EY K AH D
MILES	M AY L Z
MILES(2)	M AY AH L Z
WHERE	W EH R
WHERE(2)	HH W EH R
HUSBAND	HH AH Z B AH N D
MONARCH'S	M AA N AA R K S
COMMITTED	K AH M IH T IH D
UP	AH P
FORTUNE'S	F AO R CH AH N Z
FORTUNE'S(2)	F AO R CH UW N Z
ASLEEP	AH S L IY P
EXPIATE	EH K S P IY EY T
SUCCESSIVE	S AH K S EH S IH V
SEAL	S IY L
SALUTATION	S AE L Y AH T EY SH AH N
RUINED	R UW AH N D
RUINED(2)	R UW IH N D
PRAYERS	P R EH R Z
PRAYERS(2)	P R EY ER Z
PUREST	P Y UH R AH S T
WONDER	W AH N D ER
INVOKED	IH N V OW K T
COMPOUNDS	K AA M P AW N D Z
COMPOUNDS(2)	K AH M P AW N D Z
CROOKED	K R UH K AH D
REVIEW	R IY V Y UW
AMEN	EY M EH N
AMEN(2)	AA M EH N
ORNAMENT	AO R N AH M AH N T
BEHIND	B IH HH AY N D
DEPARTEST	D IY P AA R T AH S T
COMPLEXION	K AH M P L EH K SH AH N
SABLE	S EY B AH L
IMPORT	IH M P AO R T
ENJOYS	EH N JH OY Z
PRESAGE	P R EH S IH JH
UNTAINTED	AH N T EY N T IH D
FORSAKE	F AO R S EY K
LAYS	L EY Z
DISCLOSES	D IH S K L OW Z IH Z
PLUCK	P L AH K
BLAME	B L EY M
FAULTS	F AO L T S
COUNTENANCE	K AW N T AH N AH N S
REIGNS	R EY N Z
PROFITLESS	P R AA F AH T L AH S
COME	K AH M
GRIEVED	G R IY V D
DATES	D EY T S
MANY	M EH N IY
REGION	R IY JH AH N
QUIET	K W AY AH T
TRESSES	T R EH S IH Z
AWARDS	AH W AO R D Z
SEA'S	S IY Z
DUTY	D UW T IY
DUTY(2)	D Y UW T IY
AMONG	AH M AH NG
UNTHRIFTS	AH N TH R IH F T S
MADNESS	M AE D N AH S
SPOIL	S P OY L
UNTHRIFTY	AH N TH R IH F T IY
LACE	L EY S
SWERVING	S W ER V IH NG
DISPATCH	D IH S P AE CH
SLAIN	S L EY N
STRETCHED	S T R EH CH T
LEARNING	L ER N IH NG
PROVED	P R UW V D
HOUNDS	HH AW N D Z
BOAT	B OW T
ARTS	AA R T S
WEST	W EH S T
DROSS	D R AO S
MARK	M AA R K
BREATH	B R EH TH
SUBSCRIBES	S AH B S K R AY B Z
SELF'S	S EH L F S
MARS	M AA R Z
INFORMER	IH N F AO R M ER
FICKLE	F IH K AH L
STRAYING	S T R EY IH NG
ROBBED	R AA B D
THOUSAND	TH AW Z AH N D
THOUSAND(2)	TH AW Z AH N
BLESSING	B L EH S IH NG
NOBLER	N OW B L ER
WAKE	W EY K
EXTERNAL	IH K S T ER N AH L
MASONRY	M EY S AH N R IY
CAREFUL	K EH R F AH L
DECEIVEST	D IH S IY V AH S T
THOSE	DH OW Z
CASE	K EY S
CLEARS	K L IH R Z
PROFANE	P R OW F EY N
SCARLET	S K AA R L AH T
THESE	DH IY Z
SHEAVES	SH IY V Z
COMPILE	K AH M P AY L
CAST	K AE S T
PROVES	P R UW V Z
CANCELLED	K AE N S AH L D
SITUATION	S IH CH UW EY SH AH N
ENDURED	EH N D Y UH R D
ENDURED(2)	IH N D UH R D
FOOL	F UW L
ENDOWED	EH N D AW D
BROW	B R AW
GLUTTONING	G L AH T AH N IH NG
MIDDLE	M IH D AH L
LIMPING	L IH M P IH NG
RETURN	R IH T ER N
RETURN(2)	R IY T ER N
FAME	F EY M
DIFFERENT	D IH F ER AH N T
DIFFERENT(2)	D IH F R AH N T
HARSH	HH AA R SH
TYRANTS'	T AY R AH N T S
DOCTOR	D AA K T ER
DOCTOR(2)	D AO K T ER
PAY	P EY
SAME	S EY M
CHECK	CH EH K
SHIFTS	SH IH F T S
DISTILLED	D IH S T IH L D
FIGURES	F IH G Y ER Z
LADIES	L EY D IY Z
'TRUTH	T R AH TH
WIRES	W AY ER Z
WIRES(2)	W AY R Z
FACULTY	F AE K AH L T IY
SICKNESS	S IH K N AH S
TYRANNOUS	T AH R AE N AH S
DEFY	D IH F AY
WEED	W IY D
DWELLERS	D W EH L ER Z
FRUIT	F R UW T
SCORNED	S K AO R N D
CONQUERED	K AA NG K ER D
EXTERN	EH K S T ER N
CHANGING	CH EY N JH IH NG
WEEP	W IY P
SLANDER'S	S L AE N D ER Z
VOWED	V AW D
VANTAGE	V AE N T AH JH
VANTAGE(2)	V AE N T IH JH
THRONED	TH R OW N D
THRONED(2)	TH R OW N ED
RANDOM	R AE N D AH M
VACANT	V EY K AH N T
WITHOUT	W IH TH AW T
WITHOUT(2)	W IH DH AW T
RELIEF	R IH L IY F
RELIEF(2)	R IY L IY F
CHARGED	CH AA R JH D
DISTILLS	D IH S T IH L Z
SUMMER	S AH M ER
RANSOMS	R AE N S AH M Z
BEING	B IY IH NG
BEING(2)	B IYIH NG
WHEN	W EH N
WHEN(2)	HH W EH N
WHEN(3)	W IH N
WHEN(4)	HH W IH N
COMPOUND	K AA M P AW N D
COMPOUND(2)	K AH M P AW N D
SHAMEFULLY	SH EY M F AH L IY
REST	R EH S T
IMPRINT	IH M P R IH N T
BARENESS	B EH R N AH S
CEASE	S IY S
DISPERSE	D IH S P ER S
ASPECT	AE S P EH K T
TOUCH	T AH CH
SPEED	S P IY D
GUIDES	G AY D Z
AFTERWARDS	AE F T ER W ER D Z
BLOW	B L OW
BLOT	B L AA T
UNWOOED	AH N W UW D
CHARACTERED	K AE R IH K T ER D
THINKING	TH IH NG K IH NG
ROSE	R OW Z
SEEMS	S IY M Z
SUMMER'S	S AH M ER Z
SUMMERS'	S AH M ER Z
VERSE	V ER S
SUPPRESSED	S AH P R EH S T
WORTHIER	W ER DH IY ER
WORTHIER(2)	W ER DH IYER
THROW	TH R OW
DULLY	D AH L IY
BOND	B AA N D
STRUCK	S T R AH K
KINGDOM	K IH NG D AH M
FROWN	F R AW N
KILLS	K IH L Z
READ	R EH D
READ(2)	R IY D
OFFENCE	AH F EH N S
SUMS	S AH M Z
DART	D AA R T
BASEST	B EY S AH S T
TRAFFIC	T R AE F IH K
CONFINED	K AH N F AY N D
WORLD	W ER L D
REAP	R IY P
DARE	D EH R
ACQUAINTED	AH K W EY N T IH D
ACQUAINTED(2)	AH K W EY N IH D
FORTUNE	F AO R CH AH N
FORTUNE(2)	F AO R CH UW N
ACHIEVE	AH CH IY V
MIRACLE	M IH R AH K AH L
BENEFIT	B EH N AH F IH T
WRETCH'S	R EH CH IX Z
EITHER	IY DH ER
EITHER(2)	AY DH ER
ROBBERY	R AA B ER IY
OFFENDERS	AH F EH N D ER Z
WARRANTISE	W AO R AH N T AY Z
TOMBED	T UW M D
FULFIL	F UH L F AH L
FALSEHOOD	F AE L S HH UH D
KINGS	K IH NG Z
IMAGES	IH M AH JH AH Z
IMAGES(2)	IH M IH JH IH Z
DIVINE	D IH V AY N
THINKS	TH IH NG K S
GROSS	G R OW S
COURSES	K AO R S AH Z
COURSES(2)	K AO R S IH Z
NOON	N UW N
LEND	L EH N D
STOPS	S T AA P S
MOON	M UW N
FORGOING	F AO R G OW IH NG
EXPRESSING	IH K S P R EH S IH NG
KNIFE	N AY F
DESTROYS	D IH S T R OY Z
SHORN	SH AO R N
POWER	P AW ER
POWER(2)	P AWER
SECONDS	S EH K AH N D Z
BLEST	B L EH S T
STRAINED	S T R EY N D
OLIVES	AA L IH V Z
FORGETFULNESS	F AO R G EH T F AH L N AH S
BROKEN	B R OW K AH N
BROKEN(2)	B R OWKAH N
ASSEMBLE	AH S EH M B AH L
FEEDS	F IY D Z
ON	AA N
ON(2)	AO N
STONE	S T OW N
SUBDUED	S AH B D UW D
ZEALOUS	Z EH L AH S
OF	AH V
CHOIRS	K W AY R Z
FEIL	F IY L
WHENCE	W EH N S
WHENCE(2)	HH W EH N S
FELL	F EH L
WOLF	W UH L F
STAND	S T AE N D
ACT	AE K T
MIXED	M IH K S T
BEAR'ST	B AH AA R S T
OR	AO R
OR(2)	ER
IMITATED	IH M AH T EY T IH D
WIDOWED	W IH D OW D
BURNING	B ER N IH NG
PUT'ST	P AH T S T
DISTEMPERED	D IH S T EH M P ER D
IMAGE	IH M AH JH
IMAGE(2)	IH M IH JH
BLESSED	B L EH S T
BLESSED(2)	B L EH S ET
RISING	R AY Z IH NG
LIVELY	L AY V L IY
DREAMING	D R IY M IH NG
BLESSES	B L EH S IH Z
YOUR	Y AO R
YOUR(2)	Y UH R
BUDS	B AH D Z
OATHS'	OW DH Z
OATHS'(2)	OW TH S
FAST	F AE S T
PREPARE	P R IY P EH R
THERE	DH EH R
DISPOSED	D IH S P OW Z D
SIDES	S AY D Z
STEALTH	S T EH L TH
GAZE	G EY Z
SEASONS'	S IY Z AH N Z
STARS	S T AA R Z
JAWS	JH AO Z
VALLEY	V AE L IY
BETTERING	B EH T ER IH NG
GROAN	G R OW N
ENOUGH	IH N AH F
ENOUGH(2)	IY N AH F
YOU'	Y UW
PETTY	P EH T IY
DYER'S	D AY ER Z
DELAYED	D IH L EY D
STRIKES	S T R AY K S
MEETNESS	M IY T N AH S
SUFFERS	S AH F ER Z
WITH	W IH DH
WITH(2)	W IH TH
HAPPIES	HH AE P IY Z
ABUSED	AH B Y UW Z D
APPLYING	AH P L AY IH NG
RAGE	R EY JH
NIGGARDING	N IH G AA R D AH NG
IMPUTE	IH M P Y UW T
ABUSES	AH B Y UW S IH Z
ABUSES(2)	AH B Y UW Z IH Z
STRONGLY	S T R AO NG L IY
GONE	G AO N
INTENTS	IH N T EH N T S
CELESTIAL	S AH L EH S CH AH L
FIST	F IH S T
TASTE	T EY S T
AH	AA
ACCENTS	AE K S EH N T S
STEALING	S T IY L IH NG
AM	AE M
AM(2)	EY EH M
DEEP	D IY P
AN	AE N
AN(2)	AH N
TOILED	T OY L D
EXCUSING	IH K S K Y UW Z IH NG
DEEM	D IY M
CARVED	K AA R V D
WALKS	W AO K S
AY	EY
AY(2)	AY
SPENDS	S P EH N D Z
SPENDS(2)	S P EH N Z
FILL	F IH L
AGAIN	AH G EH N
AGAIN(2)	AH G EY N
PROUDLY	P R AW D L IY
JUDGMENT'S	JH AH JH M AH N TS
DESERVE	D IH Z ER V
HELEN'S	HH EH L IH N Z
REPENT	R IH P EH N T
INCERTAINTIES	IH N S ER T AH N T IY Z
ROSES	R OW Z IH Z
WAND'RING	W AA N D R IH NG
YOU	Y UW
ABYSM	AE B AH Z AH M
POOR	P UW R
TIME	T AY M
GIFTS	G IH F T S
GIFTS(2)	G IH F S
FLOWER	F L AW ER
FLOWER(2)	F L AWER
WRESTING	R EH S T IH NG
SUITED	S UW T AH D
SUITED(2)	S UW T IH D
BRASS	B R AE S
SEQUENT	S IY K W AH N T
BUILDING	B IH L D IH NG
BACKWARD	B AE K W ER D
REMOTE	R IH M OW T
REMOTE(2)	R IY M OW T
CALLS	K AO L Z
WIFE	W AY F
LIFE'S	L AY F S
DYED	D AY D
REPAY	R IY P EY
HUGELY	HH Y UW JH L IY
TREASON	T R IY Z AH N
APPAREL	AH P AE R AH L
TANNED	T AE N D
UNSET	AH N S EH T
ALL	AO L
CONSIDER	K AH N S IH D ER
POINTING	P OY N T IH NG
SUNS	S AH N Z
FORBIDDEN	F AO R B IH D AH N
FORBIDDEN(2)	F ER R B IH D AH N
LACK	L AE K
NEIGH	N EY
WORMS	W ER M Z
IMPORTUNE	IH M P ER T UW N
SEALS	S IY L Z
SUNK	S AH NG K
'GAINST	G EY N S T
FORGED	F AO R JH D
FORGED(2)	F AO R JH ED
WELFARE	W EH L F EH R
FOLLOW	F AA L OW
MEDITATION	M EH D AH T EY SH AH N
FASTER	F AE S T ER
RELIGIOUS	R IH L IH JH AH S
RELIGIOUS(2)	R IY L IH JH AH S
GILD'ST	JH IH L D S T
WAKENED	W EY K AH N D
WANTON	W AO N T AH N
WANTON(2)	W AA N T AH N
HOMAGE	AA M AH JH
HOMAGE(2)	HH AA M AH JH
SPARKLING	S P AA R K L IH NG
SPARKLING(2)	S P AA R K AH L IH NG
FORMER	F AO R M ER
KEEP'ST	K IY P S T
TO	T UW
TO(2)	T IH
TO(3)	T AH
PRESENT	P R EH Z AH N T
PRESENT(2)	P R IY Z EH N T
PRESENT(3)	P ER Z EH N T
DRESSING	D R EH S IH NG
NURSETH	N ER S IH TH
HIDEOUS	HH IH D IY AH S
WEEKS	W IY K S
PAYING	P EY IH NG
WOMAN	W UH M AH N
RETURNED	R IH T ER N D
RETURNED(2)	R IY T ER N D
SONG	S AO NG
VERY	V EH R IY
SAVED	S EY V D
COLOURED	K AH L ER D
OBLATION	AA B L EY SH AH N
MEDICINE	M EH D AH S AH N
WORST	W ER S T
MINDED	M AY N D AH D
MINDED(2)	M AY N D IH D
FALL	F AO L
FALL(2)	F AA L
HEMS	HH EH M Z
DIFFERENCE	D IH F ER AH N S
DIFFERENCE(2)	D IH F R AH N S
VOUCHSAFE	V AW CH S EY F
HEAVEN	HH EH V AH N
HEAVEN(2)	HH EHVAH N
LIST	L IH S T
SILVERED	S IH L V ER D
FEARFUL	F IH R F AH L
SMALL	S M AO L
T'	T IY
TENDER	T EH N D ER
I'LL	AY L
QUICKER	K W IH K ER
TEN	T EH N
OUTWORN	AW T W OW R N
PAST	P AE S T
WINDS	W IH N D Z
WINDS(2)	W AY N D Z
INVENTION	IH N V EH N SH AH N
PERSPECTIVE	P ER S P EH K T IH V
PASS	P AE S
BEMOANED	B IH M OW N D
AFFABLE	AE F AH B AH L
BEFRIENDS	B IH F R EH N D Z
CRESTS	K R EH S T S
CREATURES	K R IY CH ER Z
CONSCIENCE	K AA N SH AH N S
GAZERS	G EY Z ER Z
WHAT	W AH T
WHAT(2)	HH W AH T
DEFENCE	D IH F EH N S
DARKNESS	D AA R K N AH S
SWEETLY	S W IY T L IY
CLOCK	K L AA K
SUN	S AH N
SUM	S AH M
BRIEF	B R IY F
PREVAILED	P R IH V EY L D
PREVAILED(2)	P R IY V EY L D
FOISON	F OWIY Z AO N
NURSE	N ER S
SHUN	SH AH N
PUBLIC	P AH B L IH K
WOMB	W UW M
DWELLS	D W EH L Z
FULL	F UH L
RANGED	R EY N JH D
ANSWERS	AE N S ER Z
REVENGE	R IY V EH N JH
HOURS	AW ER Z
