RB, JJS, IN, 2
NN, NNS, WP$, 3
VBN, VBG, WP, 1
CC, MD, IN, 2
IN, PRP, VBP, 827
EX, VBP, NN, 11
MD, VB, RBR, 53
DT, RB, VBG, 39
WP, VBZ, VBN, 65
VBG, NN, WRB, 6
RB, MD, PRP, 10
JJS, NNS, JJ, 3
RB, RB, EX, 5
NN, WDT, TO, 3
VBD, WP, TO, 2
NN, EX, MD, 10
NN, VBP, TO, 17
WP, VBP, TO, 5
VBG, PRP$, JJ, 41
VBZ, PRP$, DT, 2
RBR, IN, TO, 2
VBP, WRB, RB, 5
CC, NN, NNS, 373
PRP, MD, JJ, 1
RB, VBZ, PRP, 32
VB, PDT, DT, 9
TO, CC, NNP, 1
NNS, TO, NNS, 46
DT, RBR, JJ, 107
NN, JJ, RB, 25
WDT, VBP, PRP$, 1
WP, NN, MD, 4
NNP, VB, NN, 2
VBN, JJS, JJ, 1
PRP, CD, NN, 6
CD, DT, CD, 1
NNS, WDT, JJS, 2
TO, VB, CD, 60
RB, PRP, IN, 10
TO, NNS, VBD, 2
RP, IN, RB, 10
NNP, JJ, PRP, 1
PRP, VBZ, JJS, 11
VB, NNP, NN, 19
IN, JJS, WRB, 2
NNP, NN, IN, 99
NN, VBN, MD, 2
JJS, CD, IN, 1
TO, NNS, NN, 13
JJ, NNS, WDT, 199
VB, MD, RB, 2
RP, VBN, VBN, 1
VBP, VBN, NNP, 1
RBS, RB, JJ, 4
RB, NNS, VBN, 2
VBZ, PRP, VBD, 29
RB, TO, NN, 26
DT, WRB, DT, 2
NN, -NONE-, VBZ, 2
WRB, RB, PRP, 18
VBD, JJS, NN, 4
WP, NN, VBD, 24
CC, NNP, NNS, 3
VBZ, NN, VBN, 19
DT, IN, TO, 3
VBZ, DT, WP, 1
DT, JJR, IN, 18
NN, NN, CD, 41
DT, JJ, RBR, 9
VBN, WP, IN, 2
DT, DT, NNS, 156
DT, DT, WP, 3
JJ, NN, EX, 27
WP, NN, TO, 18
NNS, VBN, VBN, 6
CD, TO, NN, 1
WDT, VBD, RB, 55
VBN, NN, VBP, 3
JJS, VB, VBN, 2
NN, JJR, DT, 1
EX, RB, VBP, 3
JJR, IN, CD, 36
VBD, NN, JJS, 1
IN, JJS, VBN, 4
RB, RBS, IN, 2
NN, EX, VBD, 32
IN, VBZ, VBG, 5
VB, CD, NNS, 23
VB, CD, RB, 1
RB, IN, MD, 4
JJ, IN, WP, 23
CD, VBP, JJ, 2
JJR, RB, IN, 26
IN, TO, RBR, 1
VB, IN, PRP, 330
PRP, WRB, NN, 1
IN, CC, NNP, 3
VBD, RP, CD, 7
WP, JJ, PRP$, 1
WDT, JJ, VBG, 1
EX, NN, IN, 3
DT, WDT, PRP$, 1
DT, VBD, CD, 7
JJR, PRP, VBP, 3
TO, RB, VBG, 1
WDT, NN, IN, 31
JJ, VBN, NN, 60
RP, JJ, RB, 2
NN, CC, NNP, 38
VBN, PRP$, VBZ, 1
JJ, VBD, NN, 21
JJ, VBZ, NN, 10
PRP, NNS, RP, 1
TO, CC, TO, 1
WRB, VBP, PRP$, 1
RB, VBD, VB, 8
TO, PRP, PRP, 14
TO, VBN, NN, 11
IN, JJ, VBD, 36
NNS, VB, NN, 1
CD, JJS, TO, 1
NNS, DT, TO, 3
NNP, NN, DT, 27
VBN, VBP, IN, 5
CC, NNP, CD, 1
VB, PRP, EX, 4
NNS, PRP, MD, 135
VBD, CD, JJ, 29
IN, EX, WDT, 1
VB, VBP, NN, 1
CC, JJS, RB, 5
WRB, NN, TO, 1
JJ, TO, VBN, 3
DT, DT, CD, 2
RBS, JJ, VBN, 1
NNS, IN, JJ, 985
VBN, VBZ, NN, 2
NNP, CD, NN, 1
NNS, JJ, PRP$, 1
PDT, VBG, PRP, 1
PRP$, DT, JJ, 5
NNS, WDT, JJ, 30
WDT, RB, IN, 5
VBZ, VBG, RB, 19
VBZ, VBD, VBG, 2
VB, PRP, RP, 55
CC, VB, WRB, 3
IN, DT, PRP, 97
VBP, RP, PRP, 4
CD, RB, DT, 3
PRP, RB, NN, 12
TO, VBD, JJ, 1
VBG, TO, VBG, 3
TO, WP, MD, 4
TO, NNS, RB, 7
VBN, VB, IN, 1
CC, VBD, CC, 21
NNS, PRP, NNS, 1
NN, VB, VBN, 73
WP, -NONE-, RB, 1
CC, JJ, IN, 172
DT, RB, MD, 10
JJ, PRP, VB, 5
VBD, JJ, WP, 4
NN, VBP, CD, 7
JJR, NNS, MD, 7
RP, VBG, PRP, 1
IN, NNP, VBZ, 3
RB, RB, JJ, 321
TO, CD, IN, 9
VBZ, NN, WRB, 1
WRB, CD, VBN, 1
VBZ, RB, TO, 57
VBP, WRB, NNS, 1
VBD, VBD, RB, 19
NN, IN, CD, 288
RB, WDT, PRP, 2
NNS, VBN, WRB, 2
NN, IN, VBZ, 79
PRP, JJ, VBZ, 1
VBZ, JJ, CC, 73
VBG, IN, CC, 10
WRB, NNS, DT, 3
VB, NNS, VBP, 8
NNS, DT, JJS, 15
VB, WRB, VBZ, 1
IN, CD, NN, 224
WP, VBD, IN, 33
VBN, NN, RBR, 1
JJ, CC, PRP$, 22
RBR, JJ, VBZ, 1
CD, IN, PRP, 64
NN, NNP, RB, 1
CD, PRP$, NN, 1
VB, VB, NNS, 2
CC, JJR, VBG, 5
WP, IN, JJ, 4
NNS, WP, VBD, 82
NN, DT, NN, 2394
NN, NNS, -NONE-, 1
MD, PRP, VBP, 17
RP, WP, VBD, 1
WDT, VBG, VBZ, 3
PRP, CC, DT, 50
DT, RB, WRB, 1
VBP, VBD, PRP, 3
VBZ, NN, VBP, 1
NN, VBG, CC, 76
DT, JJR, NN, 171
VBP, RBR, CC, 4
RP, CC, PRP, 12
PRP, VBN, RB, 5
WDT, TO, DT, 2
WDT, TO, PRP, 2
EX, VBZ, DT, 155
IN, CC, PRP, 28
RB, VBD, WRB, 16
DT, JJS, RP, 3
RB, VBP, WRB, 26
RP, IN, WRB, 1
VBZ, RBS, RB, 3
VBZ, EX, VBP, 2
NN, VBN, CD, 1
JJR, MD, PRP, 1
VBN, IN, CD, 84
DT, WRB, VBP, 1
VBD, RBR, TO, 1
VBZ, RP, TO, 8
CC, NN, RBS, 1
WDT, VB, PRP, 2
RB, VBN, JJ, 91
RB, WRB, VBP, 2
VBZ, VBP, PRP, 1
RB, -NONE-, NN, 1
CC, TO, JJR, 2
VB, PRP, MD, 40
WRB, MD, NN, 1
RB, IN, VBP, 2
TO, PRP$, JJ, 81
VBD, CD, JJR, 5
JJ, NNS, NN, 151
WRB, RB, VBD, 3
NNS, TO, CC, 1
VBZ, IN, NN, 230
NNS, VBG, WRB, 2
CC, WP, IN, 4
WDT, VB, DT, 3
TO, PRP$, PRP, 2
-NONE-, VBP, CC, 1
NN, VBD, EX, 14
NN, VBP, JJR, 2
PRP, VBP, VBZ, 28
CC, WP, NNS, 8
VB, TO, RB, 8
RB, JJR, VBP, 1
VB, PDT, RB, 1
VBD, PDT, DT, 9
CC, PRP, MD, 218
VBN, TO, VB, 949
CD, NN, VBG, 2
NNS, WP, DT, 7
VBN, VBN, MD, 2
VBP, NN, NNS, 43
PRP$, VBN, MD, 1
VBD, JJ, TO, 142
NN, RP, CD, 2
IN, VBD, VBD, 1
MD, VB, WDT, 3
RB, VBP, RP, 22
IN, PRP$, MD, 7
IN, NNS, JJ, 71
RB, DT, WDT, 2
WRB, CC, JJ, 1
RB, DT, RB, 56
VBN, WRB, VBG, 1
DT, NNS, JJS, 7
NNS, PRP$, IN, 2
PRP, RB, MD, 43
RB, VB, PRP, 201
WP, RB, VB, 1
CC, VB, RBR, 3
VBD, VB, NN, 8
PRP, RP, VBG, 3
PRP, WDT, VBZ, 2
VBN, RB, WRB, 10
VBN, IN, PRP, 287
NN, WP$, JJ, 6
VBG, VBZ, PRP$, 1
RB, WP, MD, 6
VBG, JJ, NN, 143
PRP, TO, CD, 1
RB, WP, VBN, 5
CD, RBR, NNS, 1
IN, NNS, PRP$, 7
VBP, CC, VBG, 3
WDT, IN, MD, 1
VBP, RB, WP, 8
CC, CD, VBD, 5
CC, RB, EX, 5
PRP$, VB, PRP, 1
NNS, TO, WP, 1
MD, CC, VBZ, 1
IN, CD, MD, 16
WDT, VBD, PRP, 20
IN, VBN, TO, 26
VB, RP, PRP, 5
VBZ, RB, VBD, 14
NN, VBP, PRP$, 9
NN, JJ, RBR, 2
JJ, CC, NNS, 26
IN, DT, VB, 3
VBD, WP, PRP$, 3
NNS, WRB, TO, 1
IN, DT, NNP, 87
RBS, RB, VBD, 2
VBG, NN, PRP$, 12
JJ, VBG, PRP, 2
WP, RB, VBD, 45
PRP, RP, RB, 20
CD, JJ, PRP, 1
JJS, PRP, RB, 6
NNS, DT, VBG, 31
NNS, PRP, VBD, 342
VBG, RBS, IN, 1
VB, WRB, TO, 5
VBN, PRP$, JJS, 1
RBR, JJ, TO, 28
WDT, DT, DT, 6
VBN, DT, JJS, 7
NNS, CC, NNS, 886
WRB, JJ, CC, 9
JJS, NNS, VBD, 9
JJ, RBR, JJ, 11
PRP, RB, WP, 5
RBS, NN, CC, 1
VBN, NNS, WDT, 9
VBP, DT, DT, 23
RB, EX, PRP, 2
VBD, VBN, VBN, 228
VB, NNS, RB, 22
RBR, NN, NN, 6
WP, -NONE-, RP, 1
-NONE-, VB, VBN, 2
CC, MD, CC, 2
DT, CD, VBP, 7
VBN, RB, DT, 56
CD, NN, VBN, 5
VB, VB, RB, 7
TO, EX, VBZ, 1
NNP, IN, NN, 6
VBD, VBZ, RB, 14
VB, CC, NN, 64
VB, NN, NNS, 79
JJ, VBG, RP, 2
JJR, RB, CC, 7
DT, WP, VBD, 16
RP, VBN, RB, 2
VBN, JJR, VBN, 1
VBD, DT, PRP, 17
MD, RB, RB, 61
NNS, IN, NNS, 610
VBP, TO, RB, 2
NNS, DT, WDT, 1
VBG, VBD, DT, 11
VBD, RP, VBN, 11
NN, JJ, PRP$, 1
EX, VBP, NNS, 31
IN, TO, IN, 7
DT, WRB, CC, 1
IN, PRP, RB, 436
RB, VBD, PRP, 149
RB, JJ, NNP, 4
VBN, TO, JJ, 60
IN, JJ, NNP, 8
RB, WRB, PRP, 94
CC, NNS, RP, 4
VBZ, JJS, VBN, 2
NN, EX, NN, 5
VBD, VBG, NNS, 25
VBN, VBP, NNS, 2
DT, CD, JJR, 1
NNS, VBG, VBN, 14
PRP, IN, IN, 83
PRP$, VBN, JJ, 5
VBZ, PRP, WP, 3
CC, RB, WP, 5
VBG, RB, JJ, 47
WDT, JJR, CC, 2
WP, VBD, CD, 2
VBP, NN, JJR, 1
IN, NN, VBP, 114
VBD, VBG, CC, 47
VBN, VBG, JJ, 8
RBR, PRP$, NN, 2
VBN, EX, RB, 2
RB, CD, IN, 32
VBZ, EX, VBN, 2
PRP$, NN, VBP, 29
TO, NN, VBN, 4
WRB, NNS, RB, 4
JJ, JJR, IN, 3
VB, RBR, VBN, 1
NN, PRP, JJS, 1
CC, IN, NNP, 8
WRB, JJ, VBN, 17
VBD, TO, DT, 218
RB, VBD, VBG, 32
WRB, JJ, IN, 16
RB, RBR, VBP, 1
NN, DT, CC, 10
CC, JJ, VBZ, 7
CC, NNS, VBN, 8
NN, VBZ, RB, 768
EX, PRP, VBZ, 5
WRB, VBD, WRB, 1
WDT, VBN, NNP, 1
NN, VBN, IN, 255
JJ, DT, IN, 20
VBD, VBN, VBG, 88
RB, CC, TO, 5
NN, VB, RBR, 1
-NONE-, VB, VBG, 1
IN, CC, JJR, 3
RP, DT, VBN, 3
WP, PRP, VBZ, 69
RB, VBG, CC, 29
DT, CD, VBZ, 7
VBZ, RP, IN, 28
WDT, VBG, IN, 2
WRB, NN, VBD, 45
VBG, NNS, NNS, 19
RP, TO, JJR, 1
CC, RB, WRB, 19
IN, WRB, TO, 7
JJR, IN, VBG, 5
IN, VBN, -NONE-, 1
PRP, IN, PDT, 3
CC, PRP, VBG, 2
RBR, NNS, CC, 1
VBG, PRP, CD, 2
WDT, VBZ, DT, 60
VBP, RBR, JJ, 15
JJ, VBG, VBZ, 1
JJ, EX, VBZ, 6
VB, VBN, IN, 838
WDT, VBZ, VBD, 4
VBN, DT, JJ, 375
VB, VBZ, RB, 3
CC, RB, JJ, 189
CC, CD, TO, 4
CC, VBZ, EX, 1
VBD, JJ, MD, 3
JJ, RB, VBZ, 14
VBG, VBG, DT, 3
VB, PRP$, CC, 3
VBN, TO, VBP, 1
VBN, PRP, MD, 42
DT, RBR, TO, 2
VBP, RB, RBR, 28
JJR, VBG, CC, 3
VBN, CC, DT, 88
RP, CC, DT, 15
PRP, RP, WRB, 1
NNP, VB, JJ, 2
RP, RB, JJR, 3
NNS, JJR, TO, 1
RBR, RB, IN, 24
WRB, VBD, VBG, 1
NN, IN, IN, 505
VBN, VBG, JJR, 1
NNS, VB, TO, 3
WDT, DT, NNS, 42
IN, CD, VBD, 9
PRP$, JJR, JJ, 2
NNS, VBN, PRP$, 12
NNS, VBZ, RP, 2
RB, EX, VBZ, 28
TO, IN, PRP, 5
PRP$, RB, VBN, 5
VBD, PDT, PRP$, 3
JJ, PRP, NN, 7
VBD, WP, IN, 1
VBZ, RB, RB, 247
NNS, JJ, EX, 1
NNP, NN, WRB, 4
VBD, JJ, VBD, 3
CC, RBR, JJ, 17
NN, NNS, VBG, 123
IN, VBD, VBG, 12
VBZ, VBN, CD, 8
VBP, CC, JJ, 22
NNP, VBP, NN, 6
VB, WRB, PRP, 48
CC, NNS, VBG, 31
CC, VBN, DT, 45
JJS, RB, VB, 2
VBZ, NNS, NNS, 3
EX, CC, IN, 3
RB, MD, DT, 4
VBG, PRP, NNP, 2
WDT, VBN, JJS, 1
VBZ, NN, JJ, 15
WRB, JJ, RB, 10
RP, VBG, NNS, 1
NNP, DT, DT, 1
VBD, IN, IN, 236
NN, JJ, NN, 506
WP$, NNS, VBP, 10
NNP, VBD, VBN, 12
TO, JJR, NNS, 9
MD, DT, VBN, 1
NNS, MD, PRP, 6
NNP, VBP, PRP, 2
NNS, WP, RB, 35
JJ, VBG, RB, 3
VB, CC, VBD, 5
DT, CC, VBD, 12
VBN, VBP, RB, 7
VBD, NN, WP$, 1
PRP, CC, WP, 3
RP, VBG, CC, 5
-NONE-, VBP, IN, 3
NNP, VBZ, JJ, 3
VBP, NNP, NNP, 1
DT, NN, CD, 76
CC, PRP, DT, 10
VB, CD, WDT, 2
NN, EX, WDT, 1
WRB, DT, VBG, 2
NN, CD, VBD, 6
WRB, EX, MD, 1
NN, WP, VBD, 154
NNP, VBD, NNS, 9
CC, JJ, MD, 6
PRP, JJ, PRP$, 2
VBG, RP, CD, 1
VBD, RB, NN, 59
CC, VBP, RP, 2
JJR, NN, IN, 170
VB, VBG, CD, 1
MD, PRP, RB, 20
RBS, IN, DT, 9
DT, CC, MD, 1
EX, NN, TO, 1
WRB, VBD, VBN, 2
NNS, NN, NNP, 7
VBZ, CC, VBD, 1
NN, WRB, VBZ, 2
JJS, DT, RBS, 1
VBP, PRP$, JJS, 4
WRB, VBP, PRP, 39
JJ, NN, JJS, 9
JJR, NNS, WP, 2
VBZ, VBN, JJR, 11
VBP, VBG, CC, 11
VBD, VBZ, NNP, 1
VB, PRP$, VB, 2
CD, VBG, NN, 14
NN, WDT, IN, 47
WDT, VBP, PRP, 6
VBD, DT, NNS, 238
VB, WP, JJ, 3
VBZ, NN, WP, 4
VBP, RB, NNS, 21
NN, MD, JJS, 2
VB, PDT, PRP$, 1
PRP, WP, -NONE-, 1
RB, CD, WDT, 2
PRP, PRP, VBZ, 23
WP, RB, PRP$, 1
VBG, WP, NN, 1
WP, VB, PRP, 1
CC, EX, RB, 5
WRB, NNS, VBD, 14
JJ, CC, VBN, 31
VBD, VBG, VBZ, 1
JJR, TO, PRP, 1
DT, NNS, RB, 241
JJ, JJ, CD, 5
CD, CC, PRP, 9
DT, NN, WP$, 23
NNS, WDT, VB, 10
VB, RB, WDT, 1
VBZ, RBR, IN, 11
NNS, WDT, -NONE-, 2
EX, DT, JJ, 6
IN, RB, EX, 1
VBN, VBG, NNS, 19
NNP, NNP, JJR, 1
VBN, PRP$, NNS, 79
PRP, VB, WP, 3
WDT, PRP$, NN, 23
RB, CC, PRP, 80
RB, VB, WP, 19
VBN, WDT, NN, 1
WRB, CC, PRP, 3
VB, RB, JJS, 2
VBP, RP, JJR, 1
VBD, VBG, JJ, 26
VB, JJ, VBG, 3
PRP$, TO, NN, 1
WDT, NNS, JJR, 1
NN, DT, PRP$, 5
PRP, MD, TO, 27
VBN, PRP, PRP$, 2
VB, VBN, NNS, 30
CC, DT, RB, 46
VB, PRP, IN, 348
NNS, DT, VBD, 5
TO, PRP$, TO, 3
RB, CD, VBG, 3
NN, JJ, IN, 178
WP, VBN, JJS, 1
JJ, RBR, NN, 1
JJ, EX, VBD, 7
RP, VBG, DT, 7
VBP, RB, DT, 71
RB, JJR, WP, 1
VB, DT, JJS, 50
VBD, IN, NNP, 14
VBZ, JJ, VBZ, 7
VBD, JJR, NNS, 7
CC, RB, VBG, 63
NN, VB, WRB, 1
PRP, NN, WDT, 2
TO, CD, TO, 1
VBD, JJR, CC, 16
VB, RP, NNS, 14
EX, DT, NN, 13
PRP$, JJ, CC, 39
VBG, IN, NN, 280
WP, VBZ, DT, 58
NNS, IN, EX, 11
CC, RB, RP, 5
VBP, RP, DT, 26
VBP, JJS, RB, 1
VBD, NNS, RB, 24
VBN, IN, NNS, 260
IN, CD, VBZ, 10
CD, DT, NNS, 4
RB, EX, VBD, 28
IN, PDT, PRP$, 3
JJ, VBP, VBN, 29
NNP, VBP, VBN, 2
JJS, JJ, VBG, 1
VBD, VBZ, TO, 1
RB, CD, WP$, 1
WRB, JJ, NNS, 59
NN, EX, VBP, 15
VB, JJ, PRP, 23
MD, RB, NN, 1
NN, TO, WDT, 42
RB, RBR, VB, 6
IN, NNS, NNP, 5
NNS, VBP, IN, 391
VBG, JJ, RB, 9
WRB, DT, VBN, 6
VBP, PRP, VBZ, 43
JJR, VBP, RP, 1
RP, NN, VBG, 2
RB, TO, VBG, 8
VBZ, VBZ, TO, 2
PDT, VBP, RB, 1
RB, RBR, TO, 7
VBN, -NONE-, PRP$, 1
VBZ, VBN, TO, 217
CC, NN, VBP, 81
WRB, VBG, TO, 1
JJS, CC, NN, 5
NNS, VBN, CC, 21
VBN, RB, WP, 1
TO, MD, VB, 2
VBG, DT, WRB, 1
PRP$, NNS, TO, 80
VBG, VBD, IN, 7
DT, WDT, VBN, 2
NNP, NNP, PRP$, 1
RBR, VBP, PRP, 1
VBZ, NN, CC, 46
CD, JJ, TO, 8
IN, JJS, CC, 6
VBG, VBG, PRP$, 1
RB, NNS, TO, 5
PRP, JJS, TO, 1
IN, NNS, VBZ, 79
VBN, VBN, NNP, 1
RB, RBR, RB, 13
EX, MD, VB, 81
CD, NN, CC, 51
VBD, DT, JJR, 12
IN, VBG, TO, 68
NNP, NNP, IN, 6
VBG, NN, VBZ, 26
VB, CC, DT, 35
NN, TO, NNS, 83
TO, CC, JJ, 1
IN, DT, JJR, 129
RB, CD, VBN, 8
VB, VB, PRP$, 2
-NONE-, JJ, NN, 9
CC, VBG, NNS, 81
MD, PRP$, NNS, 4
WDT, DT, JJ, 47
NNS, RP, IN, 1
MD, VB, RP, 115
NN, -NONE-, JJ, 2
VBP, VBZ, NN, 3
CC, CD, MD, 3
RP, VBG, PRP$, 1
RB, TO, NNP, 4
JJ, MD, RB, 15
DT, DT, DT, 5
NN, CD, JJR, 1
CC, VBN, CC, 22
WRB, JJS, NNS, 1
NNS, VBG, IN, 189
NNS, IN, WRB, 23
WP$, JJ, JJ, 1
PRP, VBP, WP, 25
JJR, VBN, TO, 3
TO, JJR, RB, 3
NN, CD, RB, 3
PRP$, JJS, TO, 4
NN, WDT, NNP, 4
IN, JJR, RB, 3
NN, VBZ, JJS, 9
IN, JJS, NNS, 55
CC, EX, NNS, 1
-NONE-, VBN, VB, 1
PRP, CC, WDT, 2
PRP, DT, WDT, 1
TO, JJ, DT, 19
VBD, VBP, DT, 5
WDT, JJR, NN, 1
NNS, VBN, NNS, 17
VBP, CC, VBD, 9
VBZ, WRB, NNP, 1
VBN, VBN, CD, 2
VBD, JJR, DT, 3
IN, VBN, IN, 82
JJ, PRP$, NNS, 26
IN, PRP, IN, 358
RB, VBZ, IN, 129
NN, NNS, VBZ, 114
PRP$, NN, CC, 561
RB, VB, RBS, 1
WDT, WRB, NN, 2
JJS, JJR, IN, 1
RB, VBP, PRP$, 39
WDT, PRP, CC, 10
EX, VBD, JJR, 9
NNP, RB, VB, 2
-NONE-, VBG, PRP, 1
VBN, IN, DT, 2177
CD, RBR, IN, 1
WRB, RB, VBN, 7
RB, VBD, CD, 18
JJ, RBR, CC, 1
JJ, RB, PRP, 11
RP, CD, NN, 2
VBG, CC, JJR, 3
MD, IN, WDT, 1
RP, RB, TO, 6
VBN, PRP, IN, 174
WRB, CD, CC, 3
VBD, DT, CD, 19
JJ, IN, NNS, 196
PRP, CC, VBG, 14
IN, VBG, VBD, 10
WRB, TO, RB, 1
VBN, PRP, JJS, 1
VB, IN, EX, 16
TO, CC, RB, 2
RP, RB, DT, 9
TO, VBG, IN, 7
RB, VBG, VBN, 33
NNP, NN, WP, 18
PRP, JJS, JJ, 1
JJ, VBD, VBN, 47
-NONE-, NN, NNS, 1
NN, CC, PRP, 547
PRP$, NNS, RBR, 1
VBD, NNS, WP$, 1
CC, WRB, IN, 6
WP, DT, VBN, 2
VBZ, VBN, RBR, 1
VB, PRP$, NNS, 176
VBN, RP, WDT, 1
VB, JJ, WRB, 5
JJ, VBD, RBR, 2
VBP, PRP, PRP, 31
WDT, RB, DT, 4
WRB, NN, CC, 12
RBS, JJ, VBZ, 2
JJR, RB, VBG, 5
PRP, VBD, RBR, 31
WDT, CC, PRP$, 1
IN, NN, JJ, 196
CC, RB, RB, 199
WP, VBZ, VBZ, 1
JJR, NNS, VBG, 5
CD, NNS, JJS, 2
EX, VBZ, JJ, 38
IN, NN, CC, 1552
MD, IN, NNS, 1
VBD, VBN, EX, 1
RP, TO, PRP, 17
VBZ, VBG, VBZ, 1
VBN, IN, PRP$, 269
CC, VBD, WP, 6
VBP, RBR, VBN, 5
DT, NN, PRP$, 80
CC, VBN, WP, 1
VBD, RBR, RB, 1
-NONE-, JJ, NNS, 3
VBG, IN, WRB, 5
WRB, TO, VB, 78
PDT, RB, DT, 1
VB, RP, PRP$, 44
VBZ, VBN, WDT, 2
NN, CC, MD, 59
JJ, RP, DT, 1
VBZ, VBP, NNS, 1
WP, IN, DT, 33
VBP, VBD, DT, 8
VBN, WDT, NNS, 2
CD, VBD, DT, 9
VBZ, WP, VBP, 6
VBD, -NONE-, JJ, 1
NN, VBG, VBN, 40
NNS, CC, DT, 389
TO, VBP, IN, 1
VB, VBG, IN, 55
MD, VB, VBG, 94
IN, CD, CC, 54
NN, VBD, VBP, 3
VBD, VBG, VBG, 1
CC, PRP, IN, 8
NN, VBZ, WRB, 17
VBG, WDT, NN, 1
CC, PRP$, VBG, 3
RB, PRP, JJ, 2
CD, PRP, VBZ, 1
DT, VBG, DT, 13
NN, WDT, JJS, 6
TO, JJR, JJR, 1
NNS, TO, DT, 195
VBP, VBG, DT, 29
VBG, TO, CC, 1
NNS, WRB, CD, 3
VBN, DT, RB, 25
NN, -NONE-, VBN, 1
NNS, CD, DT, 2
VBN, JJ, RP, 1
JJR, VBZ, NN, 1
IN, DT, WP$, 1
VB, RP, JJ, 25
PRP, EX, PRP, 1
RB, VBG, VBG, 5
VBN, NN, RP, 9
RBR, CC, IN, 1
VBG, PRP, NN, 25
VBP, JJS, CC, 2
NN, MD, CC, 8
DT, NN, DT, 781
VBG, WRB, IN, 1
PRP, EX, IN, 2
IN, NN, WP, 61
EX, NN, WDT, 1
-NONE-, VBP, PRP, 3
MD, VB, RB, 516
VBP, VB, RB, 2
NN, VBZ, MD, 18
EX, IN, PRP$, 1
VB, CD, VBG, 4
VBN, RBR, CC, 3
WDT, VBD, RBR, 1
CC, RB, VBZ, 45
VBG, PRP, VBP, 13
VBG, WP, VBN, 2
VBN, DT, VBZ, 4
JJS, CD, NN, 12
JJ, WP, IN, 3
JJ, IN, NN, 718
NNS, MD, IN, 10
CD, DT, IN, 4
VBD, JJS, VBD, 1
JJR, NNS, VBN, 4
IN, JJS, NN, 25
VBN, CD, RBR, 2
NN, RP, TO, 6
PRP, VBP, PRP$, 92
DT, WP, MD, 9
VBN, VBD, CC, 2
IN, CD, IN, 128
JJ, WDT, VBZ, 8
VBN, CC, MD, 9
PRP, NN, VBP, 2
VB, VBP, DT, 2
DT, WRB, NN, 2
RBR, JJ, JJ, 6
VBN, VBN, RP, 39
EX, VBZ, TO, 9
MD, TO, DT, 3
PRP, VBD, WP, 40
VB, WRB, JJ, 18
VBN, NN, PRP, 38
VBN, -NONE-, JJS, 1
JJ, WP$, NN, 1
VBZ, IN, PDT, 1
RP, NN, WP, 1
RB, VBN, -NONE-, 1
RB, CC, RB, 213
TO, WP, VBD, 3
PRP$, CC, VBN, 1
JJ, NNS, VBD, 323
IN, JJ, VBP, 11
WDT, CD, VBZ, 3
IN, NN, RBS, 2
RP, WRB, JJ, 3
DT, VBP, VBG, 4
WDT, NN, RBR, 1
-NONE-, VBP, VBG, 1
NN, JJ, VBZ, 8
VBD, TO, VB, 1167
RP, JJR, RB, 1
VBP, VBZ, VBG, 3
NNS, -NONE-, WP, 1
VBZ, PRP, JJ, 24
RP, CC, NN, 11
NNS, RBR, WP, 1
JJ, TO, VBZ, 1
VBZ, IN, JJS, 22
PRP, WRB, CD, 1
IN, DT, RBR, 57
-NONE-, NNS, MD, 1
WRB, IN, VBD, 2
PRP, VBZ, IN, 300
JJ, VBN, VBD, 1
NN, IN, PRP, 1417
WP, DT, DT, 1
NN, NNS, CC, 552
RB, JJR, VB, 1
VBP, NNS, VBD, 15
VBP, DT, CC, 5
CC, NN, PRP$, 31
JJ, WRB, VBZ, 3
RP, CC, VBN, 5
VBN, JJR, NNS, 3
VBD, PRP$, JJS, 4
WDT, VBN, NN, 13
VBZ, TO, JJR, 2
NNS, VBP, WDT, 6
PRP$, JJS, VBD, 1
TO, PRP, VBP, 2
VBZ, JJ, PRP, 19
VB, JJR, WP, 1
CD, CC, IN, 4
WP, CD, VBZ, 2
JJ, JJ, PRP, 19
RB, RB, CC, 94
VBG, NNS, DT, 22
RBR, JJ, WRB, 1
VBD, RB, VBN, 644
VBN, RP, CD, 2
WRB, CD, VBZ, 6
VBZ, JJR, NNS, 1
VB, CD, VBN, 1
WDT, VBN, VBP, 2
CC, RB, RBS, 3
VBP, VBN, RB, 116
TO, TO, VB, 1
JJ, NNS, IN, 2065
NNS, JJR, VBD, 3
NNS, IN, CD, 67
RBR, PRP, VBD, 9
IN, DT, VBP, 17
IN, IN, NNP, 10
JJ, NN, NNP, 31
IN, VB, IN, 2
DT, JJS, VBZ, 3
NN, JJS, VBG, 1
VBD, NNS, -NONE-, 1
VBN, CD, NN, 12
WP, VB, IN, 1
JJ, VBZ, VBG, 4
WDT, EX, RB, 2
DT, JJ, NNP, 9
JJR, RB, WRB, 2
VBN, RB, VBZ, 7
VBP, IN, VBD, 2
VBD, CD, TO, 2
CC, VB, NN, 81
VB, RBR, CC, 3
RBS, JJ, CC, 19
VBD, VBN, WP, 4
VB, JJR, VBN, 2
NNS, CC, WP, 9
IN, VBD, IN, 20
VB, PDT, PRP, 1
CC, VBP, NN, 14
VBN, RP, MD, 1
NN, DT, VBN, 51
JJS, JJ, RB, 3
CC, VBZ, NN, 21
RP, NNS, TO, 1
IN, RB, TO, 17
DT, VBP, VBN, 18
JJ, TO, RB, 10
RB, PRP$, NN, 113
DT, PRP, VBD, 104
